"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Settings actions operations","","0","0","5","0","0"
"","User","","0","0","2","0","0"
"","Item Due Date","","2","0","12","0","0"
"","View account settings","","0","0","1","0","0"
"","Project Drag and Drop actions","","0","0","2","0","0"
"","Items actions operations","","2","0","8","0","0"
"","Project Update","","0","0","1","0","0"
"","Items CRUD operations","","0","0","3","0","0"
"","Project Creation Above and Below","","0","0","2","0","0"
"","Recycle Bin","","0","0","1","0","0"
"","Project Deletion","","0","1","0","0","0"
"","Project Creation","","0","0","1","0","0"
"","Project Image Selection","","0","0","1","0","0"
